0.0,0.0
0.05,0.012
0.1,0.046
0.15,0.1
0.2,0.17
0.25,0.253
0.3,0.346
0.35,0.446
0.4,0.549
0.45,0.653
0.5,0.755
0.55,0.854
0.6,0.947
0.65,1.032
0.7,1.108
0.75,1.174
0.8,1.23
0.85,1.275
0.9,1.31
0.95,1.333
1.0,1.347
1.05,1.351
1.1,1.346
1.15,1.334
1.2,1.315
1.25,1.29
1.3,1.26
1.35,1.228
1.4,1.193
1.45,1.156
1.5,1.12
1.55,1.084
1.6,1.049
1.65,1.017
1.7,0.987
1.75,0.961
1.8,0.938
1.85,0.918
1.9,0.903
1.95,0.891
2.0,0.883
2.05,0.878
2.1,0.877
2.15,0.879
2.2,0.883
2.25,0.89
2.3,0.899
2.35,0.909
2.4,0.921
2.45,0.933
